Brand,Display_Type,Display_Resolution,Display_size,Response Time,Refresh Rate,Brigthness,Power_Consumption,Warrantly,Price
LG,4K UHD,5120 x 2160,34,5,60,450,80,3,79450
LG,4K UHD,3840 x 2160,43,8,60,400,95,3,79400
LG,4K UHD,3840 x 2160,43,8,60,400,95,3,79400
Dell,4K UHD,3840 x 2160,31.5,5,60,400,50,3,79300
LG,2K QHD LED,3440 x 1440,34,1,144,320,80,3,78500
LG,HD LED,3440 x 1440,34,1,144,320,80,3,78000
Samsung,4K UHD,3840 x 2160,49,1,144,350,113,3,78000
LG,FHD IPS,3840 x 2160,27,1,144,360,95,3,77700.39
Samsung,4K UHD,3840 x 2160,49,1,144,350,133,3,77000
LG,CURVED VA,3440 x 1440,34,5,160,240,45,3,77000
LG,CURVED LED,2560 x 1440,34,5,144,300,70,3,75900
Dell,FHD LED,3840 x 2160,43,5,60,350,30,3,75230
LG,CURVED VA,3440 x 1440,34,5,160,240,45,3,75000
LG,FHD IPS,2560 x 1440,34,5,144,250,49,3,74500
LG,4K UHD,3840 x 2160,26.9,1,60,250,183,3,73717.86
LG,FHD IPS,3440 x 1440,34,5,60,300,160,3,73211.85
LG,4K UHD,3840 x 2160,27,5,75,350,45,3,73000
Dell,FHD LED,3840 x 2160,31.5,5,60,400,20,3,72898
LG,4K UHD,3840 x 2160,38,1,144,450,140,3,72500
Asus,FHD LED,1920 x 1080,23.8,5,76,250,22.97,3,71930
Asus,2K WQHD LED,2560 x 1440,27,5,60,400,25,3,71390
Asus,FHD LED,1920 x 1080,23.6,1,75,250,21.1,3,70850
Asus,FHD IPS,1920 x 1080,24,5,60,250,14.4,3,70840
LG,2K QHD LED,2560 x 1440,32,1,165,280,48,3,70350
Asus,FHD IPS,1920 x 1080,21.5,5,76,250,13.05,3,70080
LG,4K UHD,5120 x 2160,34,5,60,450,55,3,70000
Dell,4K UHD,3840 x 2160,55,8,60,350,80,3,70000
LG,FHD IPS,2560 x 1440,27,5,75,350,140,3,69066.92
HP,4K UHD,3840 x 2160,27,5,60,350,42,3,69000
Samsung,2K QHD LED,2560 x 1440,27,1,240,350,100,3,69000
LG,2K WQHD LED,2560 x 1440,27,5,75,350,140,3,68687.14
Samsung,FHD LED,2560 x 1440,32,1,240,350,140,3,68000
Samsung,CURVED VA,2560 x 1440,27,1,240,300,100,3,67270
LG,FHD IPS,3840 x 2160,31.5,5,60,360,200,3,67266.28
LG,FHD IPS,2560 x 1440,32,1,165,350,65,3,67000
LG,FHD IPS,3840 x 2160,27,5,60,350,130,3,66300
Asus,FHD LED,1920 x 1080,21.5,1,60,200,21.1,3,65970
LG,2K QHD LED,2560 x 1440,27,1,165,320,65,3,65640
Dell,FHD LED,3840 x 2160,31.5,5,60,350,28.3,3,65518
Dell,FHD LED,2560 x 1600,30,5,60,400,45,3,65400
Samsung,4K UHD,5120 x 2160,49,1,240,420,100,3,65000
LG,CURVED LED,5120 x 2160,49,5,60,350,80,3,64501.23
Dell,4K UHD,3840 x 2160,32,5,60,400,46,3,64400
Asus,FHD LED,1920 x 1080,27,1,280,400,26,3,64370
Asus,FHD LED,2560 x 1440,27,5,75,350,18.6,3,64150
Dell,FHD LED,1920 x 1080,25,1,240,400,26,3,64000
LG,FHD IPS,2560 x 1440,27,1,144,350,65,3,64000
HP,2K QHD LED,2560 x 1440,27,1,165,350,50,3,64000
LG,2K QHD LED,2560 x 1440,27,1,144,350,65,3,63800
LG,2K QHD LED,2560 x 1440,27,1,144,350,51,3,63800
LG,FHD IPS,3840 x 2160,27,5,60,350,43,3,63500
HP,4K UHD,3840 x 2160,27,8,60,350,95,3,63000
LG,FHD IPS,2560 x 1440,27,1,165,320,65,3,63000
LG,FHD IPS,3840 x 2160,27,5,60,400,130,3,63000
Samsung,CURVED LED,1920 x 1080,24,4,60,250,78,3,63000
Samsung,4K UHD,3840 x 2160,28,1,60,370,29.6,3,63000
Samsung,CURVED VA,3840 x 2160,28,1,144,370,45,3,63000
LG,FHD IPS,2560 x 1440,34,14,144,250,49,3,62500
LG,CURVED LED,3440 x 1440,34,5,60,300,140,3,62222.14
Dell,4K UHD,5120 x 2160,40,5,60,300,41.3,3,62198
HP,2K QHD LED,2560 x 1440,27,5,60,350,35,3,62000
Samsung,CURVED VA,1920 x 1080,32,8,60,250,150,3,62000
Samsung,CURVED VA,3840 x 2160,32,8,60,250,150,3,62000
Samsung,CURVED VA,3840 x 2160,32,4,60,250,150,3,62000
Samsung,CURVED VA,3840 x 2160,32,8,60,250,150,3,62000
Asus,FHD LED,1920 x 1080,24.5,1,280,400,20,3,61980
Asus,FHD LED,1920 x 1080,27,5,75,250,60,3,61760
Asus,FHD LED,1920 x 1080,23.8,5,75,250,21,3,61520
HP,2K QHD LED,2560 x 1440,31.5,7,60,350,95,3,61500
LG,4K UHD,3840 x 2160,27,5,60,400,130,3,61500
Asus,FHD LED,1920 x 1080,31.5,1,165,250,28,3,61440
Asus,HD LED,1366 x 768,19.5,5,60,200,21,3,61090
Samsung,CURVED VA,1920 x 1080,27,4,240,300,48,3,61000
Asus,FHD LED,1920 x 1080,15.6,5,75,60,12,3,60570
Asus,FHD IPS,1920 x 1080,24,5,60,350,21,3,60540
HP,2K QHD LED,2560 x 1440,27,5,60,350,115,3,60500
Dell,4K UHD,5120 x 2160,49,5,60,350,60,3,60468
LG,4K UHD,3840 x 2160,31.5,1,60,230,210,3,60338.06
Asus,4K UHD,3840 x 2160,32,4,60,400,56.84,3,60100
LG,FHD IPS,3840 x 2160,32,5,60,350,130,3,60002.4
Samsung,CURVED LED,2560 x 1440,32,1,144,350,78,3,60000
Dell,FHD IPS,1920 x 1080,70,6,60,350,142,3,60000
Asus,2K WQHD LED,3440 x 1440,34,4,75,350,21.28,3,60000
Dell,2K QHD LED,2560 x 1440,27,1,155,350,35,3,60000
Samsung,CURVED VA,2560 x 1440,27,1,144,250,48,3,60000
Samsung,CURVED VA,2560 x 1440,27,1,144,250,48,3,60000
HP,FHD LED,1920 x 1080,24.5,3,240,400,30,3,59500
HP,FHD LED,1920 x 1080,24.5,3,240,400,30,3,59500
Asus,FHD LED,1920 x 1080,27,1,165,250,28,3,59490
Dell,FHD LED,3840 x 2160,31.5,6,60,350,13,3,59468
Asus,2K WQHD LED,2560 x 1440,27,1,75,350,40,3,59270
HP,2K QHD LED,2560 x 1440,27,4,144,350,28,3,59200
Dell,4K UHD,3840 x 2160,27,8,60,350,33,3,59000
Samsung,CURVED VA,2560 x 1440,27,4,144,300,48,3,59000
Dell,2K QHD LED,2560 x 1440,25,8,60,350,24,3,58900
Asus,2K WQHD LED,1920 x 1080,31.5,5,75,250,25,3,58830
Asus,FHD LED,1920 x 1080,23.8,5,75,300,18,3,58400
Asus,FHD LED,1920 x 1080,27,0.5,165,400,40,3,58300
Asus,FHD LED,1920 x 1080,27,1,165,400,40,3,58190
Samsung,CURVED VA,1920 x 1080,27,4,240,300,48,3,58000
LG,FHD IPS,3840 x 2160,27,1,144,400,65,3,57900
Asus,FHD LED,1920 x 1080,27,5,75,250,35,3,57885
Dell,FHD LED,1920 x 1080,27,8,60,300,15,3,57503
Asus,FHD LED,1920 x 1080,23.8,5,75,300,35,3,57450
Asus,FHD LED,1920 x 1080,24.5,1,165,300,40,3,57320
Dell,FHD LED,3440 x 1440,34,4,100,300,22,3,57000
Samsung,CURVED VA,1920 x 1080,32,8,60,250,60,3,57000
Asus,2K WQHD LED,2560 x 1440,27,5,75,350,21.28,3,56750
Asus,4K UHD,3840 x 2160,32,5,60,250,56.84,3,56500
HP,2K QHD LED,2560 x 1440,27,5,60,250,25,3,56500
Dell,2K QHD LED,2560 x 1440,25,5,60,350,33.2,3,56500
Asus,FHD IPS,1920 x 1080,27,5,75,250,40,3,56300
Dell,FHD LED,1920 x 1080,27,5,60,300,21,3,56039
Dell,4K UHD,3840 x 2160,27,5,60,350,100,3,56000
HP,2K QHD LED,2560 x 1440,27,5,60,350,75,3,56000
Asus,4K UHD,3840 x 2160,27,5,60,300,60,3,55910
Asus,HD LED,3840 x 2160,27,4,60,300,90,3,55900
Asus,2K WQHD LED,2560 x 1440,27,1,170,400,26,3,55880
Dell,FHD LED,1920 x 1080,24.5,1,240,400,23,3,55759
LG,FHD IPS,2560 x 1440,27,5,75,350,60,3,55340
Dell,FHD LED,3440 x 1440,34,2,144,400,30,3,55100
Samsung,CURVED VA,2560 x 1440,32,4,144,300,59,3,55000
Samsung,CURVED VA,1920 x 1080,27,1,144,350,79,3,55000
LG,FHD IPS,1920 x 1080,27,5,144,400,35,3,55000
Dell,FHD LED,1920 x 1080,27,4,75,300,19,3,54840
Asus,FHD LED,1920 x 1080,27,5,75,250,20.4,3,54620
Asus,2K WQHD LED,2560 x 1440,27,1,165,250,28,3,54580
LG,FHD IPS,2560 x 1440,27,5,75,350,140,3,54500
